PM2.5,PM10,NO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,SolarRadiation,Pressure
13.6,22.0,19.2,0.265,36.0,80.0,27.1,82,11.1,64.0,1000.2
14.3,22.9,26.5,0.339,31.0,80.0,27.8,80,11.9,208.0,1000.7
15.1,24.0,29.1,0.386,33.0,80.0,28.5,77,13.2,350.0,1000.6
18.2,28.7,30.5,0.43,37.0,80.0,29.6,71,12.8,574.0,1000.2
23.6,36.7,30.0,0.459,50.0,80.0,30.5,66,14.3,737.0,999.9
26.4,41.2,27.0,0.441,71.0,80.0,31.3,63,16.0,840.0,999.2
30.9,48.1,22.1,0.399,99.0,80.0,31.0,65,16.4,754.0,998.8
31.3,49.0,18.1,0.348,118.0,104.0,30.9,65,15.9,653.0,998.6
27.3,43.0,19.6,0.326,105.0,86.0,31.1,63,15.7,569.0,998.6
21.0,33.3,23.2,0.308,77.0,74.0,30.8,64,16.6,344.0,998.6
16.6,27.1,27.0,0.289,39.0,74.0,29.6,70,17.9,132.0,998.7
14.9,24.4,26.1,0.281,38.0,72.0,28.8,75,17.6,25.0,999.3
13.8,22.5,24.9,0.27,37.0,72.0,28.2,78,19.6,3.0,999.7
12.8,20.8,23.5,0.259,36.0,72.0,27.6,81,20.9,0.0,1000.1
13.5,22.1,23.0,0.26,36.0,72.0,27.3,84,20.1,0.0,1000.5
15.8,25.7,22.9,0.266,36.0,72.0,27.0,86,19.7,0.0,1000.7
17.2,28.3,21.9,0.264,37.0,72.0,26.5,88,18.2,0.0,1001.1
18.3,29.8,19.6,0.247,39.0,72.0,26.1,90,15.5,0.0,1000.7
17.4,28.2,16.8,0.222,41.0,72.0,25.8,91,11.2,0.0,1000.1
15.1,24.4,13.2,0.195,43.0,72.0,25.8,91,10.2,0.0,999.5
14.1,22.5,10.8,0.181,45.0,72.0,25.7,92,11.2,0.0,999.2
12.7,20.0,8.4,0.17,46.0,72.0,25.6,92,13.6,0.0,999.2
12.1,19.3,6.9,0.169,47.0,72.0,25.5,93,17.2,0.0,999.2
12.6,20.4,12.6,0.212,41.0,72.0,25.7,92,18.7,0.0,999.2
15.2,24.9,20.5,0.273,33.0,72.0,25.9,91,17.7,7.0,999.6
18.8,30.7,27.5,0.329,27.0,72.0,25.8,93,14.9,22.0,999.6
20.8,34.0,26.8,0.33,29.0,72.0,25.9,93,9.6,14.0,999.8
21.9,35.5,23.1,0.309,35.0,74.0,26.4,89,8.7,22.0,999.4
22.9,36.4,18.4,0.278,43.0,74.0,26.6,87,8.9,80.0,999.1
24.6,38.6,16.2,0.255,47.0,74.0,27.0,84,8.8,178.0,998.7
25.9,40.7,14.4,0.23,51.0,74.0,26.9,84,10.7,136.0,997.8
22.7,36.2,14.6,0.216,52.0,72.0,27.0,83,9.4,203.0,996.8
18.3,29.7,18.7,0.234,47.0,72.0,26.8,83,5.9,96.0,996.2
19.3,31.4,25.0,0.268,38.0,70.0,26.9,83,8.1,98.0,996.1
18.4,29.1,34.5,0.329,32.0,70.0,26.8,83,12.6,148.0,996.3
17.5,27.6,35.1,0.339,30.0,70.0,26.4,88,16.0,65.0,996.5
17.1,26.7,35.8,0.352,27.0,70.0,26.6,90,22.2,6.0,996.4
16.3,25.6,36.6,0.37,23.0,70.0,26.4,92,28.3,0.0,996.8
18.8,29.7,37.2,0.385,21.0,72.0,26.6,93,34.0,0.0,996.4
19.6,31.3,37.8,0.4,20.0,72.0,26.4,94,42.9,0.0,997.4
20.6,32.8,36.5,0.401,20.0,72.0,25.9,95,36.9,0.0,997.9
19.0,30.3,32.4,0.37,24.0,74.0,26.3,94,16.4,0.0,996.8
17.2,27.2,26.7,0.322,29.0,74.0,26.3,91,25.0,0.0,997.0
15.4,24.2,20.6,0.275,35.0,74.0,26.6,90,12.2,0.0,996.2
14.4,22.3,18.6,0.267,36.0,74.0,26.2,93,26.3,0.0,996.3
14.6,22.3,17.9,0.273,36.0,74.0,26.1,90,30.5,0.0,996.2
12.6,20.4,9.2,0.172,49.0,74.0,26.0,88,34.7,0.0,996.9
11.7,18.9,13.4,0.213,45.0,74.0,26.3,88,28.8,0.0,997.5
13.1,20.9,19.3,0.27,39.0,74.0,26.5,87,27.3,6.0,997.9
14.9,24.1,24.1,0.319,35.0,74.0,26.9,84,29.1,89.0,998.9
17.5,28.5,22.7,0.31,37.0,72.0,26.8,86,29.4,80.0,999.2
19.4,32.4,18.6,0.278,43.0,72.0,27.2,84,28.2,171.0,999.1
23.1,38.5,13.8,0.236,50.0,72.0,27.7,82,36.2,388.0,999.1
25.2,42.3,11.7,0.214,54.0,72.0,27.8,80,37.5,410.0,998.3
27.2,45.3,10.2,0.195,59.0,72.0,27.9,80,38.2,423.0,997.7
28.5,47.5,9.7,0.178,61.0,72.0,27.7,81,38.7,363.0,997.1
27.4,46.0,11.4,0.178,58.0,74.0,27.4,82,38.9,295.0,996.8
25.7,43.5,14.4,0.185,51.0,74.0,27.0,84,38.2,100.0,996.9
22.1,37.0,17.5,0.191,46.0,76.0,27.0,85,34.2,34.0,996.8
21.9,36.8,16.6,0.195,50.0,76.0,27.0,84,33.1,16.0,997.3
21.7,35.9,15.4,0.201,56.0,78.0,26.9,84,33.6,3.0,997.8
23.5,38.3,13.6,0.202,61.0,78.0,26.8,84,34.1,0.0,998.2
24.0,39.1,12.1,0.195,61.0,80.0,26.6,86,36.7,0.0,998.6
23.7,39.2,10.5,0.182,60.0,80.0,26.7,86,36.5,0.0,998.8
21.2,36.3,8.2,0.164,58.0,82.0,26.6,87,34.5,0.0,998.6
21.1,37.4,6.4,0.148,56.0,82.0,26.6,86,33.1,0.0,998.0
20.4,36.9,4.4,0.13,55.0,82.0,26.6,86,36.1,0.0,997.3
22.9,42.3,2.5,0.113,53.0,84.0,26.5,85,34.0,0.0,996.6
23.3,43.5,1.5,0.106,53.0,86.0,26.6,85,33.2,0.0,996.7
25.9,48.1,0.9,0.103,55.0,88.0,26.6,85,32.3,0.0,996.9
22.7,41.8,2.0,0.112,55.0,92.0,26.7,84,30.2,0.0,997.0
22.4,40.7,6.6,0.144,51.0,96.0,26.7,84,29.0,0.0,997.0
22.9,41.4,13.0,0.189,44.0,100.0,27.1,83,28.8,56.0,997.4
24.6,44.5,18.6,0.232,40.0,102.0,27.6,81,29.2,219.0,997.9
25.7,46.6,17.6,0.233,43.0,106.0,28.1,78,30.1,424.0,998.6
26.7,48.4,14.0,0.219,50.0,108.0,28.8,75,30.9,646.0,998.5
27.4,49.4,9.9,0.199,57.0,112.0,29.1,74,34.6,786.0,998.0
27.4,50.1,9.2,0.189,58.0,112.0,29.0,75,37.8,807.0,997.5
28.3,50.3,9.3,0.179,58.0,114.0,29.1,74,38.0,865.0,997.0
25.4,45.1,10.3,0.171,55.0,114.0,28.9,77,36.9,739.0,996.4
22.5,40.0,12.0,0.17,51.0,112.0,28.5,78,36.7,415.0,996.0
23.7,42.4,14.4,0.173,45.0,112.0,28.2,79,36.5,290.0,996.2
21.7,39.0,15.4,0.181,43.0,110.0,28.1,80,34.0,248.0,996.4
20.8,37.4,15.3,0.186,42.0,110.0,27.5,83,33.7,75.0,997.0
20.8,37.1,15.2,0.192,41.0,110.0,27.2,85,35.1,9.0,997.3
21.7,39.2,14.4,0.195,40.0,110.0,27.2,83,34.7,0.0,997.6
20.8,37.7,13.1,0.188,41.0,110.0,27.2,82,33.3,0.0,998.5
20.5,36.8,11.4,0.177,43.0,108.0,27.0,83,32.7,0.0,998.9
21.6,38.9,8.8,0.161,48.0,106.0,26.9,84,32.4,0.0,998.5
20.3,36.3,6.7,0.151,54.0,108.0,26.9,84,31.9,0.0,998.0
18.7,32.8,4.5,0.141,62.0,106.0,26.8,85,33.5,0.0,997.4
17.8,30.4,2.3,0.131,70.0,106.0,26.8,85,33.8,0.0,996.8
19.7,32.8,1.2,0.124,72.0,104.0,26.7,85,34.9,0.0,996.8
22.7,37.5,0.7,0.119,73.0,104.0,26.7,85,33.4,0.0,997.0
24.2,41.1,1.8,0.125,73.0,102.0,26.7,85,34.1,0.0,997.2
24.9,43.9,5.6,0.148,66.0,102.0,26.8,84,36.0,0.0,997.8
25.2,45.3,10.9,0.18,57.0,104.0,26.8,85,36.7,11.0,998.5
24.9,45.1,15.9,0.211,47.0,104.0,26.8,85,35.4,40.0,999.1
25.2,45.8,15.9,0.213,44.0,104.0,27.1,83,35.3,130.0,999.6
25.0,45.5,14.1,0.205,44.0,104.0,27.1,83,35.4,94.0,999.7
26.8,48.5,11.6,0.193,44.0,104.0,27.5,81,35.4,183.0,1000.0
27.6,50.4,10.6,0.186,45.0,104.0,28.3,78,36.2,553.0,999.6
26.1,48.2,9.9,0.179,48.0,104.0,28.9,75,37.2,691.0,999.3
25.2,46.2,9.9,0.174,48.0,102.0,28.7,77,39.2,518.0,998.7
24.2,43.4,11.4,0.176,44.0,102.0,28.4,79,38.7,418.0,998.4
21.6,38.9,14.0,0.181,38.0,104.0,28.3,79,37.5,360.0,998.6
20.3,36.7,15.2,0.183,32.0,102.0,27.7,82,38.7,195.0,998.7
20.1,36.7,15.5,0.189,32.0,102.0,27.5,83,39.7,99.0,999.0
20.9,38.3,15.9,0.197,32.0,102.0,27.3,83,39.7,13.0,999.5
20.5,38.5,15.6,0.201,33.0,102.0,27.4,81,36.2,0.0,1000.3
21.7,41.7,14.3,0.194,34.0,102.0,27.1,82,36.2,0.0,1001.1
20.8,39.6,12.4,0.181,35.0,102.0,27.2,81,37.2,0.0,1001.5
20.3,38.5,9.7,0.162,37.0,102.0,26.9,83,36.6,0.0,1001.5
19.5,37.5,7.6,0.146,38.0,102.0,26.8,84,37.9,0.0,1001.4
19.6,37.3,5.3,0.128,40.0,102.0,26.7,84,36.9,0.0,1000.8
20.1,38.1,3.0,0.109,42.0,102.0,26.6,85,37.4,0.0,1000.3
20.7,39.7,1.9,0.1,44.0,102.0,26.5,85,36.8,0.0,1000.0
19.7,38.3,1.2,0.094,46.0,102.0,26.6,84,36.2,0.0,1000.0
21.0,39.7,2.7,0.118,51.0,102.0,26.7,82,37.7,0.0,999.9
21.9,41.3,6.9,0.15,46.0,100.0,26.7,82,37.7,1.0,1000.1
22.9,42.1,12.9,0.196,38.0,100.0,26.9,82,34.8,64.0,1001.0
21.8,39.5,18.1,0.24,33.0,98.0,27.5,80,36.9,247.0,1001.8
21.0,38.4,17.4,0.242,36.0,98.0,28.2,78,36.8,465.0,1002.0
22.8,40.5,14.3,0.229,43.0,96.0,28.7,76,39.3,659.0,1002.0
24.0,42.8,10.6,0.209,51.0,96.0,29.1,74,39.3,642.0,1001.9
25.8,45.4,9.6,0.198,55.0,94.0,29.0,73,39.1,879.0,1001.4
27.1,47.6,9.1,0.188,59.0,94.0,29.0,73,37.8,825.0,1001.0
24.4,44.2,9.3,0.178,59.0,94.0,29.4,71,36.6,823.0,1000.9
23.9,43.0,10.4,0.176,54.0,94.0,29.3,72,37.2,715.0,1000.7
22.3,41.2,12.1,0.179,45.0,94.0,29.0,73,35.2,531.0,1000.7
23.4,43.0,17.4,0.215,32.0,94.0,28.5,75,33.5,340.0,1001.2
22.8,42.4,18.7,0.225,29.0,96.0,27.7,79,30.5,85.0,1001.7
22.1,41.1,20.5,0.24,26.0,96.0,27.3,82,30.0,7.0,1002.1
21.0,39.2,21.7,0.249,23.0,96.0,27.0,83,29.0,0.0,1003.0
18.7,35.4,20.5,0.241,24.0,96.0,26.9,83,28.9,0.0,1003.6
19.4,36.1,18.3,0.226,27.0,96.0,26.8,84,28.7,0.0,1004.0
19.5,36.1,14.8,0.2,31.0,96.0,26.5,85,30.3,0.0,1004.2
18.5,34.1,11.8,0.176,34.0,96.0,26.4,85,29.7,0.0,1004.0
18.2,34.2,8.3,0.149,38.0,94.0,26.4,85,30.4,0.0,1003.4
19.2,36.3,4.8,0.122,42.0,94.0,26.3,86,30.4,0.0,1002.6
19.6,36.8,3.3,0.112,44.0,94.0,26.3,86,29.6,0.0,1002.5
19.2,36.4,2.7,0.108,45.0,94.0,26.4,86,29.1,0.0,1002.2
18.4,34.5,3.0,0.114,46.0,94.0,26.3,87,28.0,0.0,1002.3
19.7,36.6,6.9,0.153,41.0,92.0,26.3,87,27.8,1.0,1002.6
21.2,39.2,12.6,0.208,35.0,92.0,26.7,85,27.2,66.0,1003.1
22.5,42.0,17.6,0.26,32.0,92.0,27.5,81,27.7,233.0,1003.5
23.5,44.9,16.6,0.259,39.0,92.0,28.2,78,29.3,401.0,1004.1
26.4,49.6,13.4,0.24,50.0,92.0,28.6,74,30.3,578.0,1004.3
25.6,49.8,9.9,0.217,63.0,94.0,29.0,73,31.4,731.0,1004.5
27.5,51.9,9.7,0.216,70.0,94.0,29.3,71,31.7,803.0,1004.1
26.9,51.0,10.4,0.219,76.0,94.0,29.8,69,30.1,917.0,1003.7
27.4,50.6,12.1,0.223,76.0,94.0,29.7,69,29.8,817.0,1003.3
24.3,45.2,13.6,0.22,67.0,96.0,29.7,69,29.7,747.0,1002.8
21.7,40.7,15.5,0.216,51.0,96.0,29.3,71,29.4,570.0,1002.8
24.3,45.2,22.2,0.259,37.0,96.0,28.8,72,28.0,353.0,1003.0
21.4,40.0,22.5,0.26,35.0,96.0,28.3,75,27.6,144.0,1003.3
20.4,38.9,23.0,0.26,32.0,96.0,27.7,78,25.3,13.0,1003.9
20.3,38.9,22.9,0.259,29.0,94.0,27.3,80,25.2,0.0,1004.4
20.5,38.4,22.2,0.257,29.0,94.0,27.1,81,24.0,0.0,1004.9
20.3,38.8,21.2,0.255,30.0,96.0,26.8,82,24.8,0.0,1005.3
20.7,38.6,18.5,0.239,33.0,96.0,26.7,83,24.0,0.0,1005.0
19.8,37.1,14.7,0.208,37.0,96.0,26.5,85,24.3,0.0,1004.5
18.7,35.3,9.9,0.167,42.0,96.0,26.5,84,24.2,0.0,1004.1
17.8,34.0,4.9,0.125,47.0,96.0,26.4,85,25.7,0.0,1003.5
18.8,35.5,3.3,0.114,47.0,96.0,26.2,86,25.9,0.0,1003.2
19.8,37.0,2.8,0.113,46.0,96.0,26.2,86,25.4,0.0,1003.4
20.0,38.5,3.3,0.116,46.0,96.0,26.2,86,24.7,0.0,1003.9
19.8,38.4,8.1,0.158,41.0,96.0,26.1,86,24.0,0.0,1004.4
21.2,40.6,14.9,0.217,35.0,96.0,26.4,84,23.9,59.0,1005.4
23.0,43.3,20.8,0.273,32.0,96.0,26.9,81,23.6,220.0,1006.1
23.5,43.9,19.4,0.274,38.0,96.0,27.7,78,25.3,393.0,1006.5
25.3,46.8,15.1,0.254,49.0,96.0,28.6,74,25.3,614.0,1006.5
25.2,48.7,10.1,0.226,62.0,96.0,29.1,72,26.5,804.0,1006.2
26.8,51.1,8.9,0.212,68.0,96.0,29.7,69,28.5,888.0,1005.7
26.7,50.9,8.4,0.199,72.0,96.0,29.9,68,28.8,910.0,1005.1
25.1,48.7,9.1,0.188,72.0,96.0,29.4,70,29.3,772.0,1004.4
24.1,46.1,11.1,0.188,64.0,96.0,28.8,73,29.7,581.0,1004.0
23.3,45.8,13.9,0.192,51.0,96.0,28.5,75,30.2,420.0,1003.8
19.5,37.7,16.9,0.203,38.0,96.0,28.0,77,27.6,292.0,1004.5
20.5,39.9,18.1,0.214,35.0,94.0,27.7,78,26.0,116.0,1004.8
20.1,38.1,20.0,0.23,32.0,94.0,27.4,81,24.7,13.0,1005.2
19.8,37.6,21.5,0.246,29.0,94.0,27.2,82,23.2,0.0,1005.9
20.1,37.6,21.5,0.25,30.0,94.0,27.1,82,24.2,0.0,1006.1
19.8,36.8,20.7,0.25,32.0,94.0,27.0,83,24.5,0.0,1006.1
20.0,37.5,18.4,0.237,36.0,94.0,26.8,84,25.2,0.0,1005.8
19.7,36.7,14.9,0.209,39.0,92.0,26.7,83,25.5,0.0,1005.1
19.1,35.4,10.6,0.17,43.0,92.0,26.8,82,26.6,0.0,1004.6
18.9,34.8,5.9,0.128,46.0,92.0,26.5,85,25.9,0.0,1003.9
18.3,33.5,4.0,0.113,48.0,94.0,26.3,86,26.4,0.0,1003.7
18.6,33.5,2.9,0.106,48.0,94.0,26.2,87,25.7,0.0,1003.7
20.5,38.2,2.6,0.099,47.0,92.0,26.4,86,26.8,0.0,1004.0
21.1,39.7,7.9,0.142,41.0,92.0,26.4,86,25.4,0.0,1004.5
23.2,43.7,15.5,0.202,31.0,94.0,26.4,84,23.9,23.0,1005.1
26.0,48.7,22.1,0.258,24.0,94.0,26.6,85,25.0,75.0,1005.8
25.6,46.8,21.0,0.257,26.0,96.0,26.4,85,23.3,64.0,1006.4
25.8,48.0,16.9,0.235,32.0,96.0,26.3,85,21.8,42.0,1006.6
25.8,47.6,12.2,0.208,40.0,96.0,27.0,82,24.1,106.0,1006.5
24.7,44.4,11.4,0.2,44.0,96.0,26.9,82,23.5,131.0,1006.0
22.8,41.2,11.4,0.196,48.0,96.0,27.0,82,26.0,242.0,1005.3
23.7,41.7,12.4,0.195,49.0,94.0,26.8,83,26.1,82.0,1004.5
19.4,36.0,14.6,0.199,44.0,94.0,26.9,82,26.7,180.0,1004.3
18.9,34.7,17.5,0.207,35.0,92.0,26.6,83,27.9,130.0,1004.2
21.2,41.1,21.5,0.224,24.0,90.0,26.6,83,26.0,75.0,1004.5
21.7,43.2,21.3,0.228,24.0,92.0,26.8,81,23.2,35.0,1005.1
21.7,41.9,21.0,0.234,24.0,92.0,26.3,83,22.2,2.0,1005.6
21.1,38.3,20.0,0.234,25.0,92.0,25.4,88,23.2,0.0,1006.0
21.4,37.6,18.2,0.223,27.0,92.0,25.5,88,22.1,0.0,1006.5
22.6,38.9,15.9,0.207,29.0,94.0,25.7,87,23.7,0.0,1006.7
23.1,40.2,12.4,0.182,32.0,94.0,25.4,90,24.3,0.0,1006.2
23.2,40.3,9.6,0.161,35.0,94.0,25.1,93,22.8,0.0,1005.3
26.2,44.1,6.6,0.137,39.0,96.0,25.5,90,26.1,0.0,1004.5
28.4,47.3,3.4,0.113,43.0,98.0,25.8,88,27.8,0.0,1003.5
29.6,49.8,2.0,0.102,44.0,102.0,25.6,89,26.1,0.0,1003.2
28.9,51.1,1.4,0.095,43.0,106.0,25.1,95,22.6,0.0,1002.8
28.6,54.4,2.3,0.104,42.0,108.0,25.0,94,23.5,0.0,1003.4
25.8,49.0,5.8,0.132,37.0,112.0,25.1,93,21.8,0.0,1003.8
24.8,46.2,10.8,0.173,31.0,114.0,25.5,90,23.2,4.0,1004.6
23.1,42.3,15.5,0.214,26.0,114.0,25.9,87,26.8,13.0,1005.3
22.3,40.7,15.8,0.223,29.0,112.0,26.2,86,28.1,74.0,1005.8
24.0,43.4,14.5,0.221,35.0,112.0,26.6,84,28.6,194.0,1005.8
24.3,43.7,12.9,0.214,41.0,112.0,26.7,83,29.1,206.0,1005.5
26.5,47.3,12.6,0.209,42.0,110.0,27.1,82,32.7,279.0,1004.8
26.8,47.4,12.6,0.202,42.0,112.0,27.0,82,33.7,269.0,1004.1
26.0,45.9,13.2,0.195,40.0,112.0,26.4,85,32.9,108.0,1003.6
23.2,40.3,14.5,0.192,37.0,114.0,26.2,86,33.1,106.0,1003.2
20.5,35.7,16.2,0.191,33.0,114.0,26.6,85,30.8,98.0,1003.2
22.2,39.7,18.9,0.211,26.0,116.0,26.3,86,29.0,33.0,1003.5
20.2,36.1,18.8,0.215,25.0,116.0,26.1,87,28.5,35.0,1004.0
20.7,36.8,18.7,0.22,24.0,114.0,26.3,86,26.2,1.0,1004.7
20.3,36.1,18.5,0.226,23.0,114.0,26.2,86,25.5,0.0,1005.2
18.9,33.5,18.7,0.232,23.0,114.0,26.3,85,27.3,0.0,1005.7
19.3,33.9,19.0,0.239,23.0,114.0,26.3,85,29.9,0.0,1006.0
18.8,32.9,17.9,0.234,24.0,112.0,26.3,85,30.7,0.0,1005.9
18.4,31.5,14.8,0.208,27.0,110.0,26.2,87,29.0,0.0,1005.4
17.1,30.6,10.4,0.171,31.0,110.0,26.1,87,28.7,0.0,1004.8
18.2,32.7,5.8,0.131,36.0,106.0,26.1,87,27.4,0.0,1004.4
17.7,32.1,4.0,0.118,38.0,102.0,26.0,87,28.0,0.0,1003.9
18.0,32.2,3.0,0.113,38.0,98.0,26.0,88,28.7,0.0,1004.0
17.3,31.0,3.3,0.119,38.0,96.0,26.0,87,28.2,0.0,1004.4
17.3,30.9,5.9,0.138,34.0,92.0,26.0,87,28.4,0.0,1005.1
17.9,31.8,9.6,0.166,29.0,88.0,26.3,86,29.0,44.0,1005.7
17.2,31.0,13.4,0.2,25.0,86.0,26.7,84,29.3,165.0,1006.3
18.0,32.5,14.1,0.22,28.0,84.0,27.4,80,28.2,359.0,1006.9
21.4,38.5,13.8,0.237,35.0,82.0,27.6,79,31.3,504.0,1007.1
25.5,45.5,13.1,0.249,43.0,82.0,28.0,78,31.2,597.0,1006.5
27.6,49.9,12.9,0.242,48.0,82.0,28.1,77,32.2,613.0,1005.8
28.0,49.7,12.5,0.226,53.0,82.0,28.1,78,31.6,514.0,1005.3
25.5,45.8,12.9,0.21,54.0,84.0,28.0,79,30.8,370.0,1004.7
24.7,44.4,14.4,0.21,48.0,84.0,27.7,80,29.8,371.0,1004.5
21.0,39.7,16.5,0.215,37.0,84.0,27.6,80,30.3,245.0,1004.3
23.6,44.8,20.4,0.231,25.0,84.0,27.3,81,27.0,152.0,1004.4
22.1,42.4,21.5,0.244,23.0,84.0,27.1,82,25.7,82.0,1005.2
21.6,40.6,23.0,0.262,21.0,84.0,26.9,82,24.4,11.0,1005.6
23.1,41.4,23.7,0.274,19.0,86.0,26.8,83,23.4,0.0,1006.2
21.9,41.2,22.3,0.264,20.0,86.0,26.7,83,24.5,0.0,1006.7
21.5,40.6,19.9,0.245,22.0,88.0,26.4,84,23.9,0.0,1007.2
21.1,40.0,16.1,0.214,26.0,88.0,26.2,86,25.1,0.0,1006.9
19.7,37.8,12.9,0.188,29.0,88.0,26.1,86,24.3,0.0,1006.2
20.4,38.3,9.5,0.159,33.0,90.0,25.9,86,22.3,0.0,1005.7
19.9,38.6,5.8,0.129,37.0,90.0,25.9,85,21.4,0.0,1005.1
19.8,39.5,4.1,0.115,39.0,90.0,25.9,85,22.9,0.0,1004.7
19.8,38.6,3.0,0.108,40.0,92.0,25.9,85,23.3,0.0,1004.5
17.8,35.4,3.0,0.108,40.0,92.0,25.9,85,23.7,0.0,1004.8
20.1,39.9,6.5,0.142,36.0,92.0,25.9,86,26.0,0.0,1005.5
21.8,44.8,11.5,0.191,31.0,94.0,26.3,84,24.2,64.0,1006.2
23.5,48.0,16.1,0.241,29.0,94.0,27.2,80,24.5,255.0,1007.0
24.9,49.9,15.9,0.25,35.0,96.0,27.9,76,26.5,475.0,1007.6
27.1,53.6,13.9,0.247,44.0,98.0,28.5,73,26.7,646.0,1007.6
29.2,57.6,11.8,0.239,56.0,100.0,28.9,72,26.8,802.0,1007.4
28.2,56.0,11.6,0.238,62.0,102.0,29.5,68,25.7,874.0,1007.0
29.6,56.1,12.0,0.237,68.0,102.0,29.8,67,25.5,888.0,1006.1
31.4,59.5,12.8,0.233,69.0,102.0,30.0,66,25.3,864.0,1005.4
28.1,54.0,13.6,0.226,61.0,104.0,29.9,66,25.0,732.0,1004.9
24.4,46.8,14.7,0.217,48.0,106.0,29.5,67,25.6,557.0,1004.9
22.7,43.4,17.7,0.226,35.0,106.0,29.1,69,23.1,348.0,1004.9
